Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Serbia,SRB,7540401,7516346,7503433,7496522,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982604,6945235
Seychelles,SYC,80410,81131,81202,83723,82781,82475,82858,84600,85033,86956,87298,89770,87441,88303,89949,91359,93419,94677,95843,96762,97625
Sierra Leone,SLE,4475145,4584067,4857096,5140113,5350907,5533329,5683334,5809774,5939163,6090860,6259842,6436698,6612385,6788587,6964859,7140688,7314773,7493913,7677565,7861281,8046828
Singapore,SGP,3958723,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569
Slovak Republic,SVK,5396020,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147
Slovenia,SVN,1983045,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385
Solomon Islands,SLB,419229,429978,440395,450760,461216,471785,482486,493430,504619,516001,527833,540394,553721,567763,582365,597375,612660,628102,643634,659249,674993
South Africa,ZAF,46364681,46813266,47229714,47661514,48104048,48556071,49017147,49491756,49996094,50565812,51170779,51784921,52443325,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055
Spain,ESP,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837
Sri Lanka,LKA,18670411,18776371,18920275,19110707,19303180,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506813,21670000,21803000
St. Kitts and Nevis,KNA,44825,45461,45986,46264,46431,46580,46725,46874,47015,47156,47286,47403,47581,47727,47767,47789,47790,47788,47785,47761,47712
St. Lucia,LCA,158256,159500,160594,161799,163047,164239,165386,166470,167518,168576,169688,170935,172145,173124,173978,174804,175623,176413,177163,177888,178583
St. Vincent and the Grenadines,VCT,113995,113813,113641,113450,113108,112608,112043,111427,110824,110316,109840,109308,108703,108083,107450,106912,106482,105963,105549,105281,104924
